Model,Fold RMSE
Linear Regression,362383.58202363865
Linear Regression,308326.1544579805
Linear Regression,401247.37584734306
Linear Regression,268595.8827575997
Linear Regression,695378.4521946871
Decision Tree,426999.0829878717
Decision Tree,358395.9604926794
Decision Tree,516532.4383720238
Decision Tree,489090.46006944444
Decision Tree,677999.5318201062
Random Forest,360099.831885294
Random Forest,303768.72835442
Random Forest,416028.9276647301
Random Forest,361081.22895060346
Random Forest,645996.1679563221
Gradient Boosting,331401.1559881542
Gradient Boosting,324951.3429548881
Gradient Boosting,386157.5593186649
Gradient Boosting,283593.4556732489
Gradient Boosting,675316.4595342723
